"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,, ,,,,,,,
"year = all, no malaria vs. malaria, males of unknown malarial status not included",,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,struts,,resids,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,struts,resids,,squared,struts,squared,resids,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,Regression Output:,,
0,0,0.002,0,88,0,22.95064979,-22.95065,,0,0,526.7323354,-22.95065,,Constant,,,23.134205
0,5,0.006,3,88,0,11.92903277,-6.9291528,,25,5,48.01315853,-6.9291528,,Std Err of Y Est,,,12.52628
0,0,-0.003,2,88,1,16.29631701,-16.296397,,0,0,265.5725552,-16.296397,,R Squared,,,0.13634755
0,4,-0.006,0,88,1,23.62366723,-19.623667,,16,4,385.0883065,-19.623667,,No. of Observations,,,917
0,39,0.015,1,88,1,18.21626512,20.783695,,1521,39,431.9619779,20.783695,,Degrees of Freedom,,,914
0,39,-0.019,0,88,0,24.78615188,14.213848,,1521,39,202.033475,14.213848,,,,,
0,18,0.011,0,88,0,22.15526557,-4.1552656,,324,18,17.26623221,-4.1552656,,X Coefficient(s),,-88.104138,-3.5718597
0,35,-0.017,0,87,1,24.66378506,10.336215,,1225,35,106.8373405,10.336215,,Std Err of Coef.,,23.043106,0.34748778
0,7,0.035,0,88,0,20.01384643,-13.013846,,49,7,169.3601877,-13.013846,,,,,
0,31,-0.005,0,88,1,23.56248382,7.4375162,,961,31,55.31664723,7.4375162,,,,,
0,0,0.035,3,88,0,9.359329881,-9.3594499,,0,0,87.59930243,-9.3594499,,,,,
0,10,0.036,3,88,0,9.236963065,0.76291694,,100,10,0.582042257,0.76291694,,,,,
0,23,0.017,0,88,0,21.60461494,1.3953851,,529,23,1.947099577,1.3953851,,,,,
0,2,0.031,3,88,0,9.726430239,-7.7265503,,4,2,59.69957954,-7.7265503,,,,,
0,0,0.008,3,88,0,11.68429917,-11.684419,,0,0,136.5256474,-11.684419,,,,,
0,27,0.034,0,88,0,20.13621324,6.8637867,,729,27,47.11156786,6.8637867,,,,,
0,7,0.019,3,88,0,10.76654813,-3.7666681,,49,7,14.18778858,-3.7666681,,,,,
0,0,0.040,0,88,0,19.58556262,-19.585563,,0,0,383.594278,-19.585563,,,,,
0,0,0.040,0,88,1,19.58556262,-19.585563,,0,0,383.594278,-19.585563,,,,,
0,3,0.010,3,88,1,11.50074893,-8.500869,,9,3,72.26477376,-8.500869,,,,,
0,18,0.000,1,89,0,19.5623,-1.56234,,324,18,2.440906276,-1.56234,,,,,
0,3,0.008,2,88,0,15.31738257,-12.317463,,9,3,151.7198948,-12.317463,,,,,
0,32,0.022,1,88,0,17.66561449,14.334345,,1024,32,205.4734466,14.334345,,,,,
0,28,0.027,1,88,0,17.17614732,10.823813,,784,28,117.1549279,10.823813,,,,,
0,27,-0.001,2,88,0,16.11276681,10.887153,,729,27,118.5301004,10.887153,,,,,
0,16,0.022,0,88,0,21.23751449,-5.2375145,,256,16,27.43155814,-5.2375145,,,,,
0,11,0.035,0,88,0,20.01384643,-9.0138465,,121,11,81.24942873,-9.0138465,,,,,
0,9,0.024,3,88,0,10.27708086,-1.2772009,,81,9,1.631242139,-1.2772009,,,,,
0,3,0.002,0,88,0,22.95064979,-19.95065,,9,3,398.0284354,-19.95065,,,,,
0,22,-0.001,1,88,1,19.6234834,2.3764766,,484,22,5.64764103,2.3764766,,,,,
0,0,-0.006,3,89,0,12.96915063,-12.969271,,0,0,168.2019903,-12.969271,,,,,
0,11,-0.005,0,88,0,23.56248382,-12.562484,,121,11,157.8160043,-12.562484,,,,,
0,13,0.006,0,88,1,22.58354938,-9.5835494,,169,13,91.8444191,-9.5835494,,,,,
0,2,-0.008,0,88,0,23.80721743,-21.807217,,4,2,475.5547133,-21.807217,,,,,
0,5,0.004,2,88,1,15.62329958,-10.62338,,25,5,112.8562026,-10.62338,,,,,
0,26,-0.019,0,88,1,24.78615188,1.2138481,,676,26,1.47342721,1.2138481,,,,,
0,12,0.024,0,88,1,21.05396432,-9.0539643,,144,12,81.97426955,-9.0539643,,,,,
0,33,-0.007,0,88,1,23.74603402,9.253966,,1089,33,85.63588673,9.253966,,,,,
0,22,0.006,1,88,1,19.07283277,2.9271272,,484,22,8.568073645,2.9271272,,,,,
0,37,0.024,1,88,1,17.42088086,19.579079,,1369,37,383.3403345,19.579079,,,,,
0,35,0.006,1,89,0,19.07283277,15.927127,,1225,35,253.6733745,15.927127,,,,,
0,33,0.013,1,88,0,18.46099875,14.538961,,1089,33,211.381387,14.538961,,,,,
0,32,0.003,1,89,0,19.31756639,12.682394,,1024,32,160.8431176,12.682394,,,,,
0,0,-0.015,3,89,0,13.70335143,-13.703471,,0,0,187.7851174,-13.703471,,,,,
0,21,0.024,2,89,1,13.91016432,7.0897557,,441,21,50.26463589,7.0897557,,,,,
0,6,0.033,0,89,0,20.1973967,-14.197397,,36,6,201.5660816,-14.197397,,,,,
0,24,0.022,3,89,0,10.52181449,13.478065,,576,24,181.6582361,13.478065,,,,,
0,0,0.029,3,89,0,9.848797054,-9.8489171,,0,0,97.00116804,-9.8489171,,,,,
0,0,0.004,3,89,0,12.05139958,-12.05152,,0,0,145.2391343,-12.05152,,,,,
0,0,0.003,3,89,0,12.17376639,-12.173886,,0,0,148.2035003,-12.173886,,,,,
0,21,0.001,1,89,0,19.43993319,1.5600268,,441,21,2.433683617,1.5600268,,,,,
0,0,-0.002,2,89,0,16.17395021,-16.17403,,0,0,261.5992464,-16.17403,,,,,
0,0,0.013,0,89,0,22.03289875,-22.032899,,0,0,485.4486383,-22.032899,,,,,
0,26,0.019,1,89,0,17.84916476,8.1507953,,676,26,66.43546402,8.1507953,,,,,
0,6,0.035,1,89,0,16.50312988,-10.50317,,36,6,110.31658,-10.50317,,,,,
0,13,0.016,3,89,0,11.01128176,1.9885983,,169,13,3.954523199,1.9885983,,,,,
0,27,0.015,0,89,0,21.78816512,5.2118349,,729,27,27.16322302,5.2118349,,,,,
0,10,-0.004,0,89,0,23.50130042,-13.5013,,100,10,182.2851017,-13.5013,,,,,
0,3,0.017,3,89,0,10.9500983,-7.9502183,,9,3,63.20597102,-7.9502183,,,,,
0,14,0.003,3,89,0,12.17376639,1.8261136,,196,14,3.33469088,1.8261136,,,,,
0,11,0.015,3,89,0,11.13364857,-0.13376854,,121,11,0.017894022,-0.13376854,,,,,
0,19,0.020,3,89,0,10.64418131,8.3556987,,361,19,69.81770077,8.3556987,,,,,
0,25,0.015,2,89,0,14.64436512,10.355555,,625,25,107.2375194,10.355555,,,,,
0,14,-0.003,1,88,0,19.86821701,-5.868257,,196,14,34.43644022,-5.868257,,,,,
