LEK ,LEK,,    ,,LEFT TAG,LEFT TAG,RIGHT TAG,RIGHT TAG,,MORPHOLOGY,,,,,,,,,,,,HEMATOMAS,,LICE,,,COMMENTS,,,FECAL SAMPLES,,,,BLOOD SAMPLES-HEMATOCRIT,,,,,,,,,,,,,,,,,,,
NUMBER,NAME,breed,DATE,TIME,COLOR,NUMBER,COLOR,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,WEIGHT (G),TOTAL,TAIL,WING,KEEL,TARSUS,TOE,COMB ,BILL,BILL,COMB,AIR SAC,COMBS,AIR SACS,BACK OF,NUMBER ,NUMBER ON,DIARRHEA,,,,,,,,,PLASM,,,,,TOTAL,#DAYS LEK,# DAYS,PROPORTION OF,,,PLASM,,,,,,
,,,,,,,,,AGE,WITH BAG,LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH,LENGTH,DEPTH,COLOR,COLOR,,,HEAD,ON COMBS,AIR SACS,,,,MITES,SPORES,COCCIDIA,ANY OTHER,,TRYPS,,P,L,H,PCV (mm),VOLUME (mm),OBSERVED,ON LEK,DAYS ON LEK,,,,,,,,,
________________,______________________________,_,_,_,____________________________________________________________________,,,,,,______________________________________________________________,,,,,___________________________________________________________________,,,,,_____________________________________________________________________,,,,,,_____________________________________________,,,_____________,__________,_,_,_,_,_,_,_,_,_,___________________,_________________________,,________________,_,_,_,_,_,_,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON BREEDING MALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Broken Wing,, 6 Apr 87,,red,118,       ,     ,juv,3350,751,295,295,150,73,71,20.65,38.9,23.8,yellow olive,bistre yellow,-,-,-,,,,broken right wing,,-,+,-,,,-,,,,,7.5,15.5,,,,,,,,,,,,
2,North Lek,0,14 Mar 87,,white,403,orange,  1,adult,3400,732,295,308,129,70,69,18.9,36.8,21.5,,,,,,,,,,,-,-,-,,,,0,,,,,,18,10,0.555555556,  1,0.55555556,0,,,,,,
2,North Lek,0,14 Mar 87,,red,103,orange,  2,adult,3250,720,294,300,130,71,74,23,39.8,23.2,,,,,,,,,,,-,-,-,,,,0,,,,,,18,14,0.777777778,  2,0.77777778,0,,,,,,
8,Mud Springs,0,26 Apr 87,5:58,orange, 22,orange, 11,juv,2700,695,280,321,133,70,65,22.1,40.55,23.7,olive yellow,bistre yellow,-,+,-,0,0,,scab on left sac,,,,,,,,1,+?,,,,,,,, 11,0,1,,,,,,
4,South Fetterman,0,12 Apr 87,4:15,white,497,orange, 29,adult,3100,739,295,310,122,65,68,25,37.4,21.7,green,yellow,-,-,-,0,0,,,,-,-,-,,,-,0,,,,9.5,12,4,2,0.5, 29,0.5,0,,,,,,
